iter	Passed	Remaining
288	9650	10384
289	9687	10355
290	9725	10326
291	9757	10292
292	9787	10254
293	9818	10218
294	9849	10183
295	9874	10141
296	9905	10105
297	9940	10074
298	9978	10044
299	10007	10007
300	10035	9968
301	10069	9935
302	10096	9896
303	10124	9858
304	10155	9822
305	10187	9787
306	10212	9746
307	10243	9711
308	10276	9678
309	10305	9640
310	10339	9608
311	10369	9572
312	10410	9546
313	10440	9509
314	10469	9472
315	10503	9439
316	10528	9399
317	10560	9364
318	10595	9333
319	10629	9300
320	10658	9263
321	10691	9230
322	10715	9189
323	10748	9156
324	10782	9123
325	10810	9086
326	10839	9049
327	10866	9011
328	10893	8973
329	10930	8943
330	10966	8911
331	10993	8873
332	11026	8841
333	11055	8804
334	11078	8763
335	11108	8728
336	11137	8691
337	11171	8659
338	11207	8629
339	11234	8591
340	11263	8555
341	11298	8523
342	11342	8498
343	11370	8461
344	11402	8428
345	11428	8389
346	11461	8356
347	11493	8323
348	11521	8286
349	11548	8249
350	11577	8212
351	11607	8178
352	11634	8140
353	11662	8104
354	11692	8069
355	11724	8036
356	11750	7998
357	11786	7967
358	11817	7932
359	11844	7896
360	11874	7861
361	11901	7824
362	11929	7788
363	11960	7754
364	11993	7721
365	12025	7688
366	12057	7655
367	12083	7618
368	12114	7584
369	12146	7550
370	12172	7513
371	12202	7479
372	12236	7446
373	12260	7408
374	12292	7375
375	12316	7337
376	12357	7309
377	12391	7277
378	12422	7243
379	12452	7209
380	12479	7173
381	12511	7139
382	12547	7109
383	12580	7076
384	12608	7040
385	12648	7012
386	12677	6977
387	12707	6943
388	12742	6911
389	12772	6877
390	12808	6846
391	12841	6813
392	12867	6777
393	12895	6742
394	12922	6706
395	12953	6673
396	12988	6641
397	13021	6609
398	13048	6573
399	13080	6540
400	13111	6506
401	13140	6472
402	13173	6439
403	13203	6405
404	13237	6373
405	13270	6341
406	13303	6308
407	13337	6276
408	13370	6244
409	13399	6209
410	13434	6177
411	13459	6141
412	13490	6108
413	13518	6073
414	13547	6039
415	13580	6006
416	13607	5971
417	13646	5941
418	13672	5906
419	13703	5873
420	13735	5839
421	13767	5807
422	13835	5789
423	13925	5780
424	13978	5755
425	14007	5721
426	14041	5689
427	14075	5656
428	14107	5623
429	14132	5587
430	14165	5554
431	14191	5518
432	14219	5484
433	14252	5451
434	14284	5418
435	14319	5386
436	14347	5351
437	14373	5316
438	14401	5281
439	14430	5247
440	14468	5216
441	14496	5181
442	14528	5148
443	14552	5113
444	14582	5079
445	14613	5045
446	14639	5010
447	14667	4976
448	14694	4941
449	14723	4907
450	14748	4872
451	14773	4837
452	14799	4802
453	14829	4769
454	14854	4733
455	14891	4702
456	14917	4667
457	14946	4634
458	14972	4599
459	15002	4565
460	15026	4530
461	15057	4497
462	15086	4463
463	15117	4430
464	15144	4396
465	15175	4363
466	15204	4330
467	15233	4296
468	15261	4262
469	15288	4228
470	15324	4197
471	15352	4163
472	15384	4130
473	15409	4096
474	15435	4061
475	15463	4028
476	15492	3994
477	15518	3960
478	15545	3927
479	15579	3894
480	15604	3860
481	15631	3826
482	15655	3792
483	15689	3760
484	15718	3727
485	15750	3694
486	15773	3659
487	15806	3627
488	15835	3594
489	15864	3561
490	15895	3528
491	15920	3494
492	15944	3460
493	15976	3428
494	16007	3395
495	16035	3362
496	16066	3329
497	16091	3295
498	16122	3263
499	16150	3230
500	16181	3197
501	16208	3164
502	16241	3131
503	16273	3099
504	16305	3067
505	16341	3035
506	16374	3003
507	16415	2972
508	16440	2939
509	16469	2906
510	16494	2872
511	16526	2840
512	16554	2807
513	16587	2775
514	16619	2742
515	16647	2710
516	16681	2678
517	16705	2644
518	16739	2612
519	16764	2579
520	16801	2547
521	16827	2514
522	16859	2482
523	16886	2449
524	16919	2417
525	16948	2384
526	16979	2351
527	17007	2319
528	17029	2285
529	17052	2252
530	17081	2219
531	17099	2185
532	17132	2153
533	17150	2119
534	17166	2085
535	17187	2052
536	17204	2018
537	17227	1985
538	17247	1951
539	17267	1918
540	17288	1885
541	17308	1852
542	17326	1818
543	17352	1786
544	17374	1753
545	17392	1720
546	17411	1687
547	17427	1653
548	17453	1621
549	17469	1588
550	17487	1555
551	17510	1522
552	17526	1489
553	17543	1456
554	17563	1424
555	17579	1391
556	17598	1358
557	17619	1326
558	17636	1293
559	17656	1261
560	17673	1228
561	17690	1196
562	17710	1163
563	17726	1131
564	17743	1099
565	17765	1067
566	17782	1034
567	17798	1002
568	17819	970
569	17836	938
570	17852	906
571	17872	874
572	17887	842
573	17906	811
574	17924	779
575	17941	747
576	17960	715
577	17979	684
578	17995	652
579	18019	621
580	18038	589
581	18055	558
582	18076	527
583	18091	495
584	18109	464
585	18126	433
586	18142	401
587	18157	370
588	18172	339
589	18189	308
590	18209	277
591	18226	246
592	18241	215
593	18255	184
594	18268	153
595	18281	122
596	18294	91
597	18306	61
598	18319	30
599	18332	0
