iter	Logloss
0	0.6656476916
1	0.641297073222	0.622506900333	0.604893624	4	0.5875095005	5	0.5721332006	6	0.5587776227	7	0.5449593598	8	0.5351339599	9	0.5257579351010	0.5144763211	11	0.5077246677
12	0.5001597995
13	0.4908579058
114	0.488036902615	0.4795712354
16	0.4744196345
17	0.4690360088
18	0.4659828809
19	0.460216252
20	0.4562990029
21	0.4524419683
2222	0.4522283472323	0.4484432542424	0.4455635642525	0.4420413502626	0.4392785162727	0.4363610762828	0.4336816472929	0.4325508613030	0.4306031153131	0.4285289082
32	0.4269643599
33	0.4256817336
34	0.4235433179
35	0.4225519473
36	0.4204258921
37	0.4185307916
38	0.4170679775
39	0.4155839472
40	0.4142212842
41	0.413217634
42	0.4112366668
43	0.4092482569444	0.4080335646445	0.4073663093446	0.4061386049447	0.4039668767448	0.4030108015449	0.4012301138550	0.3996706396551	0.3985263913552	0.396890512653	0.3965055959554	0.3955456331555	0.394923655556	0.3937154032
57	0.3926112098
58	0.3916251179
59	0.3905880212
60	0.3896285856
61	0.3888256529
62	0.3882391628
63	0.3871252017
64	0.3858247619
65	0.3850861115
66	0.3841471408
67	0.3832233971
68	0.3826639362
69	0.3819277291
70	0.3810441559
71	0.3799812431
72	0.3794286606
73	0.3785255997
74	0.3776532582
75	0.3768516877
76	0.3765452031
77	0.3758461462
78	0.3749399646
79	0.3739743259
80	0.3734723617
81	0.3728045816
82	0.3724411854
83	0.3718876291
84	0.3714209513
85	0.3705005173
86	0.3700066131
87	0.369415269
88	0.3688846501
89	0.3682806778
90	0.3675122259
91	0.366914043
92	0.366365207
93	0.365671863
94	0.3649530406
95	0.3646493028
96	0.3638201685
97	0.3629602446
98	0.3623096187
99	0.3619037566
100	0.3609041511
101	0.360544166
102	0.3600705828
103	0.3596126146
104	0.3590110897
105	0.3586838471
106	0.3578753842
107	0.3571718419
108	0.3566856457
109	0.3562909953
110	0.3560085037
111	0.3557179051
112	0.3551152759
113	0.3545472457
114	0.3536347161
115	0.3531805882
116	0.3527782988
117	0.3522137785
118	0.3516858129
119	0.3511274798
120	0.3505914066
121	0.3502448759
122	0.3499199786
123	0.348876335
124	0.3481090815
125	0.3475926057
126	0.3472734497
127	0.3467248083
128	0.3461416725
129	0.3456869769
130	0.3452478244
131	0.3449333382
132	0.3445083938
133	0.3440096941
134	0.3435352529
135	0.3428637478
136	0.3425778409
137	0.3418100018
138	0.3411895714
139	0.3408631762
140	0.3402614124
141	0.3396590194
142	0.3390448235
143	0.3386606085
144	0.3382813633
145	0.3378287221
146	0.3374166358
147	0.3369054337
148	0.336450873
149	0.3358378031
150	0.335444456
151	0.3351316592
152	0.3346369622
153	0.3342294867
154	0.3337951782
155	0.3334278014
156	0.3329364682
157	0.3325824028
158	0.3322058363
159	0.3318751618
160	0.3310386968
161	0.3305690807
162	0.329894
163	0.329591204
164	0.3288224436
165	0.328387277
166	0.3280294166
167	0.3276971677
168	0.3272197817
